TEST_RESULT,Sum
0-1 (1.4/㎕),413
0-1 (1.0/㎕),409
0-1 (1.1/㎕),366
0-1 (2.1/㎕),335
0-1 (0.9/㎕),328
0-1 (1.9/㎕),328
0-1 (2.3/㎕),321
0-1 (1.3/㎕),297
0-1 (0.7/㎕),289
0-1 (2.5/㎕),288
0-1 (2.9/㎕),286
0-1 (1.5/㎕),284
0-1 (1.8/㎕),280
0-1 (2.0/㎕),256
0-1 (0.5/㎕),255
0-1 (1.6/㎕),253
0-1 (0.6/㎕),253
0-1 (2.7/㎕),253
0-1 (1.7/㎕),233
0-1 (3.1/㎕),212
0-1 (3.3/㎕),205
0-1 (3.4/㎕),203
0-1 (2.8/㎕),192
0-1 (1.2/㎕),192
0-1 (2.4/㎕),187
0-1 (3.2/㎕),180
0-1 (4.0/㎕),173
0-1 (4.7/㎕),171
0-1 (0.2/㎕),170
0-1 (4.6/㎕),168
0-1 (4.2/㎕),162
0-1 (0.3/㎕),162
0-1 (2.2/㎕),162
0-1 (3.8/㎕),161
0-1 (4.3/㎕),159
0-1 (3.6/㎕),152
0-1 (3.5/㎕),137
0-1 (5.5/㎕),137
0-1 (4.1/㎕),135
0-1 (2.6/㎕),133
0-1 (5.0/㎕),129
0-1 (3.7/㎕),128
0-1 (5.4/㎕),124
0-1 (3.0/㎕),119
0-1 (5.2/㎕),117
0-1 (6.3/㎕),116
0-1 (5.9/㎕),114
0-1 (0.8/㎕),113
0-1 (6.7/㎕),112
0-1 (5.1/㎕),111
0-1 (5.6/㎕),109
0-1 (5.8/㎕),109
0-1 (6.2/㎕),108
0-1 (4.9/㎕),107
0-1 (7.1/㎕),105
0-1 (4.5/㎕),101
0-1 (6.0/㎕),93
0-1 (6.5/㎕),89
0-1 (7.7/㎕),87
0-1 (3.9/㎕),86
0-1 (8.1/㎕),85
0-1 (6.9/㎕),83
0-1 (0.1/㎕),81
0-1 (7.3/㎕),80
0-1 (0.4/㎕),77
0-1 (7.2/㎕),76
0-1 (7.6/㎕),73
0-1 (6.4/㎕),72
0-1 (8.9/㎕),72
0-1 (7.4/㎕),72
0-1 (7.8/㎕),71
0-1 (4.4/㎕),66
0-1 (8.0/㎕),65
0-1 (6.8/㎕),64
0-1 (9.5/㎕),64
