TEST_RESULT,Sum
0-1 (1.0/㎕),533
0-1 (1.4/㎕),503
0-1 (0.9/㎕),466
0-1 (1.1/㎕),459
0-1 (0.5/㎕),441
0-1 (1.8/㎕),438
0-1 (0.6/㎕),435
0-1 (1.9/㎕),432
0-1 (2.3/㎕),423
0-1 (0.7/㎕),409
0-1 (2.1/㎕),398
0-1 (2.5/㎕),376
0-1 (1.5/㎕),367
0-1 (2.0/㎕),333
0-1 (2.9/㎕),333
0-1 (1.6/㎕),323
0-1 (2.7/㎕),322
0-1 (3.1/㎕),305
0-1 (1.2/㎕),290
0-1 (1.3/㎕),281
0-1 (2.8/㎕),274
0-1 (3.3/㎕),261
0-1 (0.2/㎕),260
0-1 (1.7/㎕),259
0-1 (3.8/㎕),252
0-1 (3.2/㎕),251
0-1 (3.6/㎕),246
0-1 (0.3/㎕),242
0-1 (4.3/㎕),241
0-1 (4.6/㎕),234
0-1 (3.4/㎕),232
0-1 (2.2/㎕),226
0-1 (4.0/㎕),221
0-1 (3.7/㎕),216
0-1 (2.4/㎕),215
0-1 (4.7/㎕),206
0-1 (4.1/㎕),203
0-1 (4.2/㎕),194
0-1 (0.1/㎕),191
0-1 (5.0/㎕),190
0-1 (2.6/㎕),177
0-1 (5.1/㎕),161
0-1 (5.5/㎕),157
0-1 (5.4/㎕),155
0-1 (5.9/㎕),150
0-1 (6.2/㎕),150
0-1 (6.3/㎕),149
0-1 (3.0/㎕),147
0-1 (5.2/㎕),147
0-1 (4.9/㎕),145
0-1 (3.5/㎕),140
0-1 (4.5/㎕),138
0-1 (6.0/㎕),136
0-1 (5.6/㎕),134
0-1 (6.9/㎕),130
0-1 (5.8/㎕),127
0-1 (4.4/㎕),126
0-1 (7.1/㎕),119
0-1 (0.8/㎕),117
0-1 (6.7/㎕),117
0-1 (3.9/㎕),112
0-1 (7.7/㎕),106
0-1 (6.4/㎕),102
0-1 (7.2/㎕),100
0-1 (6.5/㎕),100
0-1 (8.3/㎕),97
0-1 (7.3/㎕),89
0-1 (8.6/㎕),89
0-1 (7.4/㎕),88
0-1 (4.8/㎕),87
0-1 (6.8/㎕),85
0-1 (7.6/㎕),83
0-1 (6.6/㎕),81
0-1 (8.0/㎕),81
0-1 (8.5/㎕),79
0-1 (8.1/㎕),79
0-1 (8.9/㎕),78
0-1 (10.2/㎕),76
0-1 (9.5/㎕),75
0-1 (0.0/㎕),74
0-1 (0.4/㎕),74
0-1 (9.3/㎕),72
0-1 (5.7/㎕),70
0-1 (9.0/㎕),70
0-1 (7.8/㎕),70
0-1 (9.9/㎕),69
0-1 (10.5/㎕),69
0-1 (8.7/㎕),69
0-1 (9.6/㎕),60
2-5 (11.6/㎕),59
0-1 (10.8/㎕),59
0-1 (10.3/㎕),58
2-5 (11.8/㎕),58
0-1 (6.1/㎕),57
0-1 (5.3/㎕),57
0-1 (9.8/㎕),57
0-1 (8.4/㎕),56
0-1 (7.5/㎕),54
0-1 (8.2/㎕),53
2-5 (12.4/㎕),52
2-5 (11.4/㎕),52
2-5 (14.2/㎕),52
0-1 (10.4/㎕),52
0-1 (10.9/㎕),51
2-5 (12.6/㎕),51
2-5 (11.1/㎕),51
2-5 (11.7/㎕),50
2-5 (11.3/㎕),50
0-1 (10.0/㎕),50
0-1 (10.7/㎕),49
0-1 (9.4/㎕),49
0-1 (9.7/㎕),47
2-5 (14.7/㎕),47
2-5 (13.0/㎕),46
0-1 (9.1/㎕),46
2-5 (12.1/㎕),45
2-5 (13.3/㎕),44
0-1 (10.1/㎕),42
0-1 (9.2/㎕),42
2-5 (13.8/㎕),42
2-5 (11.5/㎕),41
0-1 (7.0/㎕),41
2-5 (13.6/㎕),41
2-5 (13.4/㎕),40
2-5 (12.7/㎕),40
2-5 (17.1/㎕),39
2-5 (12.2/㎕),39
0-1 (7.9/㎕),38
2-5 (12.0/㎕),38
0-1 (8.8/㎕),38
2-5 (16.6/㎕),38
2-5 (12.9/㎕),37
2-5 (13.1/㎕),37
2-5 (14.5/㎕),37
2-5 (14.3/㎕),36
2-5 (14.9/㎕),35
2-5 (12.5/㎕),35
2-5 (15.7/㎕),35
2-5 (14.6/㎕),35
2-5 (11.2/㎕),35
2-5 (15.3/㎕),34
2-5 (17.9/㎕),32
2-5 (16.5/㎕),32
2-5 (14.1/㎕),31
2-5 (16.1/㎕),31
2-5 (13.9/㎕),30
2-5 (16.2/㎕),30
2-5 (18.4/㎕),30
2-5 (16.9/㎕),30
2-5 (17.3/㎕),29
2-5 (12.8/㎕),29
2-5 (21.3/㎕),29
2-5 (21.5/㎕),28
2-5 (15.4/㎕),27
2-5 (15.5/㎕),27
2-5 (15.1/㎕),27
2-5 (13.5/㎕),27
2-5 (15.0/㎕),27
2-5 (20.0/㎕),26
2-5 (15.8/㎕),26
0-1 (11.0/㎕),26
2-5 (26.6/㎕),26
2-5 (24.0/㎕),26
2-5 (24.1/㎕),26
0-1 (10.6/㎕),26
2-5 (12.3/㎕),26
2-5 (13.7/㎕),25
2-5 (17.0/㎕),25
2-5 (17.8/㎕),25
2-5 (16.7/㎕),25
2-5 (15.6/㎕),24
2-5 (16.0/㎕),24
2-5 (19.0/㎕),24
2-5 (14.4/㎕),24
2-5 (17.2/㎕),24
2-5 (20.7/㎕),24
2-5 (14.0/㎕),23
2-5 (14.8/㎕),23
2-5 (16.4/㎕),23
2-5 (15.2/㎕),23
2-5 (17.5/㎕),23
2-5 (20.6/㎕),23
2-5 (18.2/㎕),23
2-5 (18.9/㎕),23
2-5 (19.1/㎕),23
2-5 (21.1/㎕),23
2-5 (20.9/㎕),22
2-5 (13.2/㎕),22
2-5 (18.8/㎕),22
2-5 (17.7/㎕),21
2-5 (18.7/㎕),21
2-5 (15.9/㎕),21
2-5 (19.4/㎕),21
2-5 (18.6/㎕),21
2-5 (23.3/㎕),21
2-5 (19.7/㎕),21
2-5 (26.4/㎕),21
2-5 (19.8/㎕),20
2-5 (25.1/㎕),20
2-5 (21.7/㎕),20
2-5 (17.4/㎕),19
2-5 (18.3/㎕),19
2-5 (20.2/㎕),19
2-5 (21.0/㎕),19
2-5 (23.7/㎕),19
2-5 (16.8/㎕),19
2-5 (18.0/㎕),19
2-5 (20.5/㎕),19
2-5 (19.9/㎕),18
2-5 (19.5/㎕),18
2-5 (21.8/㎕),18
2-5 (20.3/㎕),17
2-5 (23.6/㎕),17
2-5 (23.8/㎕),17
2-5 (19.3/㎕),17
2-5 (11.9/㎕),17
2-5 (25.4/㎕),17
2-5 (25.7/㎕),17
2-5 (22.0/㎕),16
2-5 (24.9/㎕),16
2-5 (26.3/㎕),16
5-10 (28.1/㎕),16
2-5 (22.1/㎕),16
2-5 (25.3/㎕),16
5-10 (27.9/㎕),15
2-5 (16.3/㎕),15
2-5 (19.6/㎕),15
2-5 (22.6/㎕),15
2-5 (24.6/㎕),15
5-10 (32.8/㎕),15
2-5 (18.1/㎕),15
2-5 (26.0/㎕),15
5-10 (29.4/㎕),15
2-5 (21.2/㎕),15
5-10 (29.8/㎕),14
2-5 (24.8/㎕),14
2-5 (22.3/㎕),14
5-10 (35.5/㎕),14
5-10 (27.8/㎕),14
2-5 (20.8/㎕),14
2-5 (20.4/㎕),14
2-5 (23.5/㎕),14
2-5 (27.3/㎕),14
2-5 (22.7/㎕),14
2-5 (17.6/㎕),14
2-5 (27.7/㎕),13
2-5 (26.1/㎕),13
5-10 (33.4/㎕),13
2-5 (23.0/㎕),13
5-10 (44.8/㎕),13
2-5 (22.9/㎕),13
5-10 (32.4/㎕),13
2-5 (21.4/㎕),13
2-5 (19.2/㎕),13
2-5 (26.2/㎕),13
2-5 (23.2/㎕),12
2-5 (24.5/㎕),12
2-5 (27.0/㎕),12
2-5 (25.9/㎕),12
5-10 (29.0/㎕),12
2-5 (25.8/㎕),12
2-5 (26.8/㎕),12
2-5 (22.8/㎕),12
5-10 (32.3/㎕),12
5-10 (30.6/㎕),12
2-5 (22.2/㎕),12
2-5 (23.1/㎕),12
5-10 (29.5/㎕),11
2-5 (25.0/㎕),11
5-10 (34.0/㎕),11
5-10 (28.2/㎕),11
2-5 (23.4/㎕),11
2-5 (25.6/㎕),11
5-10 (34.7/㎕),11
5-10 (32.9/㎕),11
5-10 (33.5/㎕),11
2-5 (25.5/㎕),11
5-10 (28.9/㎕),11
5-10 (30.1/㎕),11
5-10 (38.6/㎕),11
5-10 (33.9/㎕),11
2-5 (27.2/㎕),11
5-10 (28.6/㎕),10
5-10 (28.4/㎕),10
2-5 (27.5/㎕),10
5-10 (31.3/㎕),10
5-10 (35.2/㎕),10
2-5 (21.9/㎕),10
5-10 (31.0/㎕),10
5-10 (31.2/㎕),10
5-10 (28.5/㎕),10
5-10 (28.0/㎕),10
2-5 (18.5/㎕),9
5-10 (30.3/㎕),9
2-5 (22.5/㎕),9
5-10 (32.5/㎕),9
5-10 (29.3/㎕),9
5-10 (35.1/㎕),9
5-10 (33.2/㎕),9
5-10 (33.0/㎕),9
5-10 (38.5/㎕),9
5-10 (39.9/㎕),9
5-10 (41.6/㎕),9
2-5 (26.9/㎕),9
5-10 (28.8/㎕),9
5-10 (33.1/㎕),9
2-5 (22.4/㎕),9
5-10 (30.8/㎕),9
5-10 (32.0/㎕),9
5-10 (31.8/㎕),9
5-10 (29.9/㎕),9
5-10 (37.3/㎕),9
5-10 (30.2/㎕),8
2-5 (20.1/㎕),8
5-10 (37.1/㎕),8
5-10 (34.8/㎕),8
5-10 (53.3/㎕),8
5-10 (38.2/㎕),8
5-10 (31.7/㎕),8
10-25 (59.4/㎕),8
5-10 (29.7/㎕),8
5-10 (33.3/㎕),8
2-5 (27.4/㎕),8
2-5 (26.5/㎕),8
2-5 (21.6/㎕),8
5-10 (33.7/㎕),8
2-5 (24.2/㎕),8
2-5 (25.2/㎕),8
5-10 (36.4/㎕),8
5-10 (34.3/㎕),8
2-5 (27.6/㎕),8
5-10 (32.1/㎕),8
5-10 (28.3/㎕),8
5-10 (39.6/㎕),7
5-10 (38.4/㎕),7
2-5 (27.1/㎕),7
5-10 (30.7/㎕),7
5-10 (36.9/㎕),7
5-10 (38.3/㎕),7
5-10 (31.5/㎕),7
10-25 (73.4/㎕),7
5-10 (33.8/㎕),7
5-10 (41.4/㎕),7
5-10 (50.2/㎕),7
2-5 (23.9/㎕),7
5-10 (38.7/㎕),7
2-5 (26.7/㎕),7
5-10 (36.1/㎕),7
5-10 (47.6/㎕),7
5-10 (38.0/㎕),7
5-10 (39.4/㎕),7
2-5 (24.4/㎕),7
5-10 (44.6/㎕),7
5-10 (44.7/㎕),7
5-10 (41.7/㎕),7
5-10 (31.9/㎕),7
5-10 (44.0/㎕),7
5-10 (54.0/㎕),7
5-10 (50.3/㎕),7
5-10 (39.1/㎕),6
5-10 (34.6/㎕),6
5-10 (52.5/㎕),6
5-10 (32.2/㎕),6
5-10 (40.4/㎕),6
5-10 (42.0/㎕),6
5-10 (52.6/㎕),6
